name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
133,jhipster67,X,monolith,session,no,hazelcast,no,sql,DiskBased,postgresql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
134,jhipster67,,monolith,session,no,hazelcast,no,sql,DiskBased,postgresql,gradle,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
135,jhipster68,X,monolith,jwt,no,no,spring-websocket,sql,mariadb,mariadb,gradle,no,X,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
136,jhipster68,,monolith,jwt,no,no,spring-websocket,sql,mariadb,mariadb,gradle,no,X,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
137,jhipster69,X,monolith,oauth2,hazelcast,hazelcast,no,sql,InMemory,mariadb,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
138,jhipster69,,monolith,oauth2,hazelcast,hazelcast,no,sql,InMemory,mariadb,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
139,jhipster70,X,gateway,uaa,ehcache,no,spring-websocket,sql,mysql,mysql,maven,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
140,jhipster70,,gateway,uaa,ehcache,no,spring-websocket,sql,mysql,mysql,maven,elasticsearch,,X,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
141,jhipster71,X,monolith,jwt,no,no,spring-websocket,sql,mysql,mysql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
142,jhipster71,,monolith,jwt,no,no,spring-websocket,sql,mysql,mysql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
143,jhipster72,X,gateway,uaa,ehcache,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
144,jhipster72,,gateway,uaa,ehcache,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
145,jhipster73,X,monolith,session,hazelcast,no,spring-websocket,sql,InMemory,mysql,gradle,elasticsearch,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
146,jhipster73,,monolith,session,hazelcast,no,spring-websocket,sql,InMemory,mysql,gradle,elasticsearch,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
147,jhipster74,X,monolith,session,no,no,spring-websocket,sql,DiskBased,postgresql,maven,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
148,jhipster74,,monolith,session,no,no,spring-websocket,sql,DiskBased,postgresql,maven,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
149,jhipster75,X,gateway,jwt,hazelcast,hazelcast,spring-websocket,sql,postgresql,postgresql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
150,jhipster75,,gateway,jwt,hazelcast,hazelcast,spring-websocket,sql,postgresql,postgresql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
151,jhipster76,X,monolith,jwt,no,no,no,sql,InMemory,postgresql,maven,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
152,jhipster76,,monolith,jwt,no,no,no,sql,InMemory,postgresql,maven,elasticsearch,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
153,jhipster77,X,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,InMemory,mariadb,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
154,jhipster77,,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,InMemory,mariadb,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
155,jhipster78,X,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,DiskBased,mysql,gradle,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
156,jhipster78,,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,DiskBased,mysql,gradle,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
157,jhipster79,X,monolith,jwt,no,no,spring-websocket,sql,DiskBased,mysql,gradle,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
158,jhipster79,,monolith,jwt,no,no,spring-websocket,sql,DiskBased,mysql,gradle,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
159,jhipster80,X,gateway,uaa,no,no,spring-websocket,sql,DiskBased,mysql,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
160,jhipster80,,gateway,uaa,no,no,spring-websocket,sql,DiskBased,mysql,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
161,jhipster81,X,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
